{798, d, 26}
{1051, j, 21}
{1530, k, 25}
{1789, d, 29}
{2199, j, 28}
{2502, d, 23}
{2929, j, 23}
{3273, d, 27}
{3617, k, 24}
{3979, f, 22}
{4330, j, 22}
{5039, k, 19}
{5219, j, 14}
{5021, d, 345}
{5737, j, 25}
{5922, k, 24}
{6434, j, 25}
{6631, k, 16}
{6416, d, 345}
{7183, j, 18}
{7503, d, 19}
{7863, j, 16}
{8048, f, 17}
{8212, d, 17}
{8217, k, 14}
{8566, d, 26}
{8575, k, 19}
{8734, j, 18}
{8917, d, 14}
{8914, k, 20}
{9275, f, 25}
{9281, j, 21}
{9629, k, 11}
{9630, d, 17}
{9972, k, 11}
{10321, d, 21}
{10675, k, 23}
{11041, d, 17}
{11389, j, 23}
{11733, d, 27}
{12095, j, 19}
{12446, k, 24}
{12964, d, 25}
{13308, j, 18}
{13647, k, 36}
{14032, d, 30}
{14375, k, 20}
{14720, f, 25}
{15096, k, 22}
{15456, d, 17}
